Need,Reference,Threshold,Value
KCaloryNeed,NutInst,L15,1785
KCaloryNeed,NutInst,H15,2415
KCaloryNeed,NutInst,L20,1680
KCaloryNeed,NutInst,H20,2520
KCaloryNeed,NutInst,L25,1575
KCaloryNeed,NutInst,H25,2625
KCaloryNeed,NutInst,L30,1470
KCaloryNeed,NutInst,H30,2730
ProteinNeed,NutInst,L15,58.20
ProteinNeed,NutInst,H15,78.74
ProteinNeed,NutInst,L20,54.78
ProteinNeed,NutInst,H20,82.17
ProteinNeed,NutInst,L25,51.35
ProteinNeed,NutInst,H25,85.59
ProteinNeed,NutInst,L30,48
ProteinNeed,NutInst,H30,89
VitaminANeed,NutInst,L15,589.612
VitaminANeed,NutInst,H15,797.71
VitaminANeed,NutInst,L20,555
VitaminANeed,NutInst,H20,832.4
VitaminANeed,NutInst,L25,520.24
VitaminANeed,NutInst,H25,867.07
VitaminANeed,NutInst,L30,485.5
VitaminANeed,NutInst,H30,901.7
RiboflavinNeed,NutInst,L15,0.9018
RiboflavinNeed,NutInst,H15,1.2201
RiboflavinNeed,NutInst,L20,0.848
RiboflavinNeed,NutInst,H20,1.273
RiboflavinNeed,NutInst,L25,0.7957
RiboflavinNeed,NutInst,H25,1.326
RiboflavinNeed,NutInst,L30,0.742
RiboflavinNeed,NutInst,H30,1.38
FeNeed,NutInst,L15,10.891
FeNeed,NutInst,H15,14.7359
FeNeed,NutInst,L20,10.25
FeNeed,NutInst,H20,15.37
FeNeed,NutInst,L25,9.61
FeNeed,NutInst,H25,16.01
FeNeed,NutInst,L30,8.97
FeNeed,NutInst,H30,16.658
CalciumNeed,NutInst,L15,557.63
CalciumNeed,NutInst,H15,754.44
CalciumNeed,NutInst,L20,524.83
CalciumNeed,NutInst,H20,787.24
CalciumNeed,NutInst,L25,492
CalciumNeed,NutInst,H25,820
CalciumNeed,NutInst,L30,459.22
CalciumNeed,NutInst,H30,852.84
