Year,Region,PopWeight
84,Urban,47096
85,Urban,48260
86,Urban,49287.8
87,Urban,50339.7
88,Urban,51416.4
89,Urban,52518.5
90,Urban,53647
91,Urban,55419
92,Urban,56329
93,Urban,57252
94,Urban,58192
95,Urban,59147
96,Urban,60281
97,Urban,61329
98,Urban,62367
99,Urban,63390
100,Urban,63876
84,Rural,22294
85,Rural,22235.8
86,Rural,22078.4
87,Rural,21926.5
88,Rural,21780
89,Rural,21638.8
90,Rural,21503
91,Rural,20656
92,Rural,20687
93,Rural,20718
94,Rural,20748
95,Rural,20779
96,Rural,20789
97,Rural,20754
98,Rural,20708
99,Rural,20648
100,Rural,20179
